satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary
0.616,0.411,5,262,3,0,0,0,product_mng,low
0.5,0.855,3,215,2,0,0,0,support,low
0.619,0.516,3,166,4,0,1,0,sales,low
0.314,0.648,4,250,1,0,0,0,product_mng,medium
0.903,0.397,4,163,7,0,0,0,marketing,medium
0.242,0.787,6,165,8,0,0,0,hr,low
0.758,0.793,3,183,8,0,0,0,support,low
0.368,0.824,5,232,1,0,0,0,IT,high
0.433,0.317,3,210,3,0,0,0,sales,medium
0.72,0.661,3,225,5,0,0,0,technical,medium
0.847,0.714,3,96,2,1,0,0,product_mng,low
0.196,0.233,3,199,6,0,0,0,support,medium
0.597,0.741,5,173,2,0,0,0,sales,medium
0.538,0.26,7,243,1,0,0,0,IT,high
0.249,0.658,4,247,3,0,0,0,IT,high
0.635,0.514,3,244,3,0,0,0,sales,low
0.266,0.43,5,225,2,0,1,0,management,medium
0.515,0.47,3,129,4,1,0,0,sales,low
0.382,0.209,3,238,3,0,0,0,hr,low
0.438,0.263,7,256,10,0,0,0,sales,medium
0.418,0.859,3,152,7,1,0,0,support,medium
0.693,0.542,4,164,6,0,0,0,technical,low
0.26,0.395,6,187,1,0,0,0,technical,low
0.576,0.897,5,195,3,0,0,0,IT,low
0.392,0.688,5,255,3,0,1,0,technical,high
0.429,0.633,3,234,5,0,0,0,support,medium
0.597,0.768,5,228,8,1,0,0,product_mng,low
0.355,0.735,4,237,6,1,1,0,sales,low
0.417,0.778,4,194,3,0,0,0,hr,low
0.506,0.35,4,125,1,0,0,0,management,low
0.265,0.544,4,234,5,0,1,0,IT,low
0.395,0.744,5,212,5,0,0,0,marketing,medium
0.563,0.875,4,236,7,0,0,0,support,high
0.116,0.671,5,253,1,1,0,0,technical,low
0.193,0.327,6,122,5,1,0,0,IT,medium
0.407,0.698,6,217,2,1,1,0,hr,medium
0.561,0.791,6,184,7,0,0,0,IT,low
0.907,0.351,3,271,4,1,0,0,technical,low
0.398,0.62,5,202,2,0,0,0,marketing,medium
0.17,0.756,4,198,9,0,0,0,sales,low
0.139,0.51,5,197,9,0,0,0,sales,low
0.397,0.301,4,282,7,0,1,0,sales,medium
0.848,0.823,4,214,3,0,0,0,product_mng,low
0.148,0.82,3,223,1,0,0,0,hr,low
0.412,0.627,4,259,5,0,1,0,sales,medium
0.539,0.68,3,219,7,0,0,0,accounting,low
0.32,0.532,4,210,5,0,0,0,management,medium
0.696,0.34,5,242,4,0,0,0,IT,low
0.697,0.611,3,214,4,0,0,0,support,high
0.194,0.194,5,232,8,0,1,0,sales,low
0.59,0.77,5,132,9,0,0,0,sales,low
0.611,0.492,6,283,4,0,1,0,hr,low
0.422,0.745,3,175,2,0,0,0,sales,low
0.28,0.167,2,177,3,1,0,0,support,low
0.768,0.739,4,174,2,0,0,0,support,medium
0.21,0.679,3,151,2,0,0,0,sales,high
0.335,0.785,4,251,2,0,0,1,product_mng,low
0.599,0.622,6,194,1,0,0,0,support,low
0.679,0.373,3,148,1,0,0,1,support,medium
0.79,0.72,3,175,6,0,0,0,technical,low
0.29,0.845,4,174,3,1,0,0,management,low
0.749,0.656,7,252,1,0,0,1,sales,low
0.504,0.796,3,151,6,0,0,0,accounting,high
0.5,0.734,7,185,3,0,0,0,support,low
0.429,0.531,4,235,3,0,0,0,support,low
0.757,0.735,5,153,1,0,0,0,technical,medium
0.169,0.76,3,156,3,0,0,0,support,high
0.17,0.737,4,294,1,0,1,0,sales,low
0.795,0.768,3,187,2,0,0,0,sales,medium
0.611,0.275,4,294,4,0,0,0,technical,low
0.841,0.374,4,185,3,0,0,0,product_mng,low
0.696,0.466,5,210,1,0,0,0,support,high
0.387,0.929,4,294,1,0,0,0,sales,low
0.731,0.662,3,178,4,0,0,0,management,medium
0.652,0.204,6,160,2,1,0,0,sales,medium
0.338,0.85,3,191,8,0,0,0,technical,medium
0.465,0.634,4,229,4,0,0,0,hr,medium
0.283,0.573,4,219,2,0,0,0,support,medium
0.813,0.791,6,217,5,1,0,0,support,low
